# Program:featureCounts v2.0.3; Command:"featureCounts" "-a" "/scratch/lukens/Assignment_2_Genome/genomic.gtf" "-o" "gene_counts.txt" "-T" "8" "-t" "exon" "-g" "gene_id" "-s" "2" "SRR10551657_1.fastqAligned.out.bam" "SRR10551658_1.fastqAligned.out.bam" "SRR10551659_1.fastqAligned.out.bam" "SRR10551660.fastqAligned.out.bam" "SRR10551661.fastqAligned.out.bam" "SRR10551662.fastqAligned.out.bam" "SRR10551663_1.fastqAligned.out.bam" "SRR10551664_1.fastqAligned.out.bam" "SRR10551665_1.fastqAligned.out.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10551657_1.fastqAligned.out.bam	SRR10551658_1.fastqAligned.out.bam	SRR10551659_1.fastqAligned.out.bam	SRR10551660.fastqAligned.out.bam	SRR10551661.fastqAligned.out.bam	SRR10551662.fastqAligned.out.bam	SRR10551663_1.fastqAligned.out.bam	SRR10551664_1.fastqAligned.out.bam	SRR10551665_1.fastqAligned.out.bam
YDL022W	NC_001136.10	411825	413000	+	1176	315	227	273	148	130	84	290	296	281
YDL021W	NC_001136.10	413953	414888	+	936	92	61	68	149	174	59	240	272	303
YDL020C	NC_001136.10	415113	416708	-	1596	466	291	378	716	714	303	235	287	302
YDL019C	NC_001136.10	417663	421514	-	3852	305	236	243	187	202	92	232	252	259
YDL018C	NC_001136.10	422833	423510	-	678	11	9	5	44	27	22	13	11	17
YDL017W	NC_001136.10	424209	425732	+	1524	8	2	9	19	7	12	9	8	5
YDL015C	NC_001136.10	426002	426934	-	933	53	31	35	193	96	92	103	140	127
YDL014W	NC_001136.10	427364	428347	+	984	36	35	22	31	31	18	16	19	22
YDL013W	NC_001136.10	429067	430926	+	1860	31	21	21	47	31	25	57	57	46
YDL012C	NC_001136.10;NC_001136.10	431108;431473	431386;431517	-;-	324	28	19	21	22	18	8	12	15	12
YDL010W	NC_001136.10	432330	433025	+	696	63	27	45	125	121	45	64	65	73
YDL009C	NC_001136.10	432925	433248	-	324	114	77	59	85	121	18	68	84	68
YDL008W	NC_001136.10	433497	433994	+	498	18	15	13	25	40	18	18	18	23
YNCD0005C	NC_001136.10	434264	434336	-	73	0	1	2	0	0	1	0	1	0
YDL007C-A	NC_001136.10	436567	436824	-	258	2	0	1	0	0	0	0	2	0
YNCD0006W	NC_001136.10	437772	437853	+	82	0	0	0	0	0	0	0	0	0
YDL007W	NC_001136.10	438047	439360	+	1314	646	470	525	372	341	138	173	205	248
YDL006W	NC_001136.10	439909	440754	+	846	34	21	21	45	47	24	25	49	46
YDL005C	NC_001136.10	441014	442309	-	1296	218	165	199	76	187	27	45	62	73
YDL004W	NC_001136.10	443029	443511	+	483	405	254	261	901	719	466	265	336	340
YDL003W	NC_001136.10	444683	446383	+	1701	75	38	29	61	52	24	3	9	10
YDL002C	NC_001136.10	446967	447578	-	612	35	20	23	66	52	9	31	41	39
YDL001W	NC_001136.10	447984	449276	+	1293	23	20	15	39	39	18	26	38	38
YDR001C	NC_001136.10	450220	452475	-	2256	562	390	475	245	268	145	444	477	424
YDR002W	NC_001136.10	453045	453650	+	606	332	243	290	324	291	116	162	169	182
YDR003W	NC_001136.10	454122	454754	+	633	35	22	26	64	50	48	29	36	33
YDR003W-A	NC_001136.10	454782	454904	+	123	44	40	46	33	46	21	26	19	17
YDR004W	NC_001136.10	455201	456583	+	1383	21	15	6	30	18	25	33	32	28
YDR005C	NC_001136.10;NC_001136.10	456836;458098	458017;458103	-;-	1188	39	22	20	80	68	32	102	103	122
YDR006C	NC_001136.10	458542	461247	-	2706	82	56	63	137	110	65	180	209	203
YDR007W	NC_001136.10	461842	462516	+	675	43	28	38	42	40	28	34	39	40
YDR009W	NC_001136.10	463434	464996	+	1563	12	10	8	24	19	12	10	9	22
YDR010C	NC_001136.10	465051	465383	-	333	4	1	1	2	2	2	2	1	5
YDR011W	NC_001136.10	465919	470424	+	4506	248	178	183	679	441	432	249	294	279
YDR012W	NC_001136.10	471853	472941	+	1089	104	58	69	177	123	132	111	116	117
YDR013W	NC_001136.10	473157	473783	+	627	16	4	4	25	20	5	6	10	8
YDR014W	NC_001136.10	474046	475989	+	1944	31	14	16	31	40	8	21	30	34
YDR014W-A	NC_001136.10	477797	478285	+	489	1	0	1	2	1	0	1	0	0
YDR016C	NC_001136.10	478474	478758	-	285	9	6	8	15	9	6	8	6	4
YDR017C	NC_001136.10	479115	482267	-	3153	61	48	38	118	97	44	111	133	104
YDR018C	NC_001136.10	482670	483860	-	1191	21	12	17	16	11	14	17	16	27
YDR019C	NC_001136.10	484163	485365	-	1203	70	57	50	78	42	41	49	40	36
YDR020C	NC_001136.10	485746	486444	-	699	7	0	1	9	7	2	7	10	11
YDR021W	NC_001136.10	486804	488003	+	1200	17	12	11	18	13	8	10	20	16
YDR022C	NC_001136.10	488072	488662	-	591	21	17	17	31	16	5	25	29	28
YNCD0007C	NC_001136.10	488797	488870	-	74	1	0	0	0	0	1	1	0	0
YDR023W	NC_001136.10	489508	490896	+	1389	127	73	71	295	155	85	115	142	122
YDR025W	NC_001136.10;NC_001136.10	491515;491899	491559;492324	+;+	471	100	59	71	221	137	103	60	85	65
YDR026C	NC_001136.10	492556	494268	-	1713	38	37	32	90	152	17	57	81	66
YDR027C	NC_001136.10	494649	497318	-	2670	84	58	68	108	87	37	105	139	127
YDR028C	NC_001136.10	497835	500879	-	3045	241	160	177	270	237	59	185	265	244
YDR029W	NC_001136.10	501100	501414	+	315	83	66	63	38	45	6	20	26	28
YDR030C	NC_001136.10	501753	503273	-	1521	73	52	52	86	94	29	79	93	91
YDR031W	NC_001136.10	503498	503863	+	366	104	48	75	101	93	33	32	36	43
YDR032C	NC_001136.10	504099	504695	-	597	205	131	155	454	263	205	91	97	114
YNCD0033W	NC_001136.10	506334	507774	+	1441	117	81	92	48	49	20	207	238	189
YNCD0034C	NC_001136.10	506546	507450	-	905	89	75	63	28	42	12	175	188	157
YDR033W	NC_001136.10	508147	509109	+	963	455	254	274	1989	1078	1102	647	766	659
YDR034C	NC_001136.10	509737	512109	-	2373	220	144	137	269	320	121	124	163	151
YDR034C-D	NC_001136.10	514043	519356	-	5314	19	15	15	42	47	13	76	100	84
YDR034C-C	NC_001136.10	518040	519356	-	1317	0	0	0	0	0	0	0	0	0
YNCD0008W	NC_001136.10	519743	519826	+	84	2	1	3	0	2	0	1	1	2
YDR034C-A	NC_001136.10	520516	520692	-	177	3	1	1	2	0	0	1	0	1
YNCD0009W	NC_001136.10	520972	521043	+	72	0	0	0	1	0	0	1	1	0
YDR034W-B	NC_001136.10	521314	521469	+	156	15	8	10	7	4	8	0	5	2
YDR035W	NC_001136.10	521816	522928	+	1113	105	73	80	249	244	113	130	155	143
YDR036C	NC_001136.10	523211	524713	-	1503	79	39	51	125	102	57	60	70	86
YDR037W	NC_001136.10	525440	527215	+	1776	208	142	130	307	203	175	164	221	202
YDR038C	NC_001136.10	527422	530697	-	3276	22	17	13	4	7	7	10	11	11
YDR039C	NC_001136.10	531307	534582	-	3276	0	0	0	0	0	0	0	0	0
YDR040C	NC_001136.10	535192	538467	-	3276	16	16	10	7	1	2	11	3	6
YDR041W	NC_001136.10	539803	540414	+	612	47	42	44	77	78	27	30	33	33
YDR042C	NC_001136.10	540601	541203	-	603	16	4	11	13	10	4	37	34	38
YNCD0010C	NC_001136.10	541602	541700	-	99	8	20	28	11	13	28	60	37	57
YDR043C	NC_001136.10	542674	543369	-	696	152	126	104	395	440	131	157	195	171
YDR044W	NC_001136.10	546642	547628	+	987	41	36	32	63	64	45	45	42	38
YDR045C	NC_001136.10	547978	548310	-	333	9	6	2	36	18	10	5	3	16
YDR046C	NC_001136.10	548762	550576	-	1815	9	6	5	26	35	22	9	6	4
YDR047W	NC_001136.10	551860	552948	+	1089	118	69	72	76	100	51	55	77	52
YDR049W	NC_001136.10	553254	555152	+	1899	37	26	35	43	69	9	33	37	36
YDR050C	NC_001136.10	555726	556472	-	747	826	653	809	1716	1332	832	2400	2805	2582
YDR051C	NC_001136.10	557056	558060	-	1005	42	31	46	87	80	36	44	48	55
YDR052C	NC_001136.10	558511	560625	-	2115	103	92	69	101	125	19	75	89	90
YDR054C	NC_001136.10	561440	562327	-	888	191	120	184	123	156	44	54	69	87
YDR055W	NC_001136.10	563527	564861	+	1335	687	522	606	223	190	203	157	125	146
YDR056C	NC_001136.10	565023	565640	-	618	89	62	61	88	84	36	57	68	67
YDR057W	NC_001136.10	565927	567555	+	1629	32	32	24	74	54	12	29	27	53
YDR058C	NC_001136.10	567723	568703	-	981	60	37	42	39	63	17	40	46	38
YNCD0011W	NC_001136.10	568882	568953	+	72	0	0	0	0	0	0	0	0	0
YNCD0012W	NC_001136.10	568964	569035	+	72	0	0	1	1	1	0	3	1	1
YDR059C	NC_001136.10;NC_001136.10	569234;569724	569633;569770	-;-	447	91	66	54	146	93	97	78	90	86
YDR060W	NC_001136.10	570649	573726	+	3078	127	73	70	180	230	53	66	70	74
YDR061W	NC_001136.10	574164	575783	+	1620	45	25	27	91	65	50	55	75	68
YDR062W	NC_001136.10	576474	578159	+	1686	55	35	40	111	116	58	63	96	83
YDR063W	NC_001136.10	578663	579112	+	450	47	41	37	49	68	11	38	41	46
YDR064W	NC_001136.10;NC_001136.10	579458;580018	579478;580452	+;+	456	378	198	177	626	380	354	215	202	209
YDR065W	NC_001136.10	580687	581784	+	1098	9	11	5	12	19	4	18	24	7
YDR066C	NC_001136.10	581908	582498	-	591	6	2	9	9	7	0	6	10	6
YDR067C	NC_001136.10	582791	583465	-	675	21	12	13	32	44	14	17	24	30
YDR068W	NC_001136.10	583713	584645	+	933	59	33	53	49	100	14	18	37	51
YDR069C	NC_001136.10	584939	587719	-	2781	150	103	118	162	117	74	105	121	116
YDR070C	NC_001136.10	588098	588379	-	282	1417	1013	1248	54	131	24	369	429	510
YDR071C	NC_001136.10	588827	589402	-	576	127	78	87	144	101	38	52	49	53
YDR072C	NC_001136.10	589761	591344	-	1584	44	37	35	43	54	33	79	104	64
YDR073W	NC_001136.10	592439	592948	+	510	44	38	46	46	38	15	25	36	27
YDR074W	NC_001136.10	593893	596583	+	2691	457	281	329	261	231	148	552	734	621
YDR075W	NC_001136.10	597156	598082	+	927	15	14	7	44	20	20	17	13	15
YDR076W	NC_001136.10	598468	599688	+	1221	18	9	13	35	29	20	22	27	23
YDR077W	NC_001136.10	600793	601809	+	1017	1230	730	856	1050	868	738	2074	2150	2273
YDR078C	NC_001136.10	602198	602869	-	672	16	13	8	23	28	11	14	17	11
YDR079W	NC_001136.10	603064	603399	+	336	211	179	228	91	134	29	58	55	48
YDR079C-A	NC_001136.10	603593	603811	-	219	8	15	11	18	9	13	13	14	18
YDR080W	NC_001136.10	604008	606986	+	2979	47	26	35	48	40	18	44	46	42
YDR081C	NC_001136.10	607304	610081	-	2778	54	42	31	68	55	31	63	98	94
YDR082W	NC_001136.10	610441	611925	+	1485	17	14	7	35	28	22	29	37	17
YDR083W	NC_001136.10	612073	613251	+	1179	68	36	48	50	68	13	27	29	33
YDR084C	NC_001136.10	613405	614004	-	600	28	15	30	42	23	24	20	44	39
YDR085C	NC_001136.10	614288	616150	-	1863	393	326	345	40	37	11	57	59	68
YDR086C	NC_001136.10	616928	617170	-	243	263	150	171	165	170	38	48	74	87
YDR087C	NC_001136.10	617470	618306	-	837	38	36	30	38	62	13	18	22	20
YDR088C	NC_001136.10	618497	619645	-	1149	90	66	81	39	106	8	34	41	31
YNCD0013C	NC_001136.10	619969	620041	-	73	0	0	1	0	3	1	3	0	1
YDR089W	NC_001136.10	622112	624721	+	2610	42	30	27	43	37	28	161	203	191
YDR090C	NC_001136.10	625066	625998	-	933	21	13	10	55	42	36	69	84	75
YDR091C	NC_001136.10	626708	628534	-	1827	29	9	7	122	36	76	60	86	69
YDR092W	NC_001136.10;NC_001136.10	629876;630174	629905;630605	+;+	462	69	33	49	45	50	29	43	52	48
YDR093W	NC_001136.10	631282	636120	+	4839	67	44	59	92	53	59	61	89	84
YDR096W	NC_001136.10	637139	639823	+	2685	226	180	164	198	177	72	149	164	160
YDR097C	NC_001136.10	640109	643837	-	3729	36	25	27	59	42	34	43	51	52
YDR098C	NC_001136.10	644178	644930	-	753	42	29	43	61	67	27	24	20	28
YNCD0014C	NC_001136.10	645153	645224	-	72	0	0	0	0	0	0	0	0	0
YDR098C-B	NC_001136.10	645858	651126	-	5269	0	0	0	0	0	0	0	0	0
YDR098C-A	NC_001136.10	649804	651126	-	1323	0	0	0	0	0	0	0	0	0
YDR099W	NC_001136.10	653607	654428	+	822	800	599	638	611	766	172	519	702	730
YDR100W	NC_001136.10	655013	655444	+	432	31	22	24	41	36	23	22	29	20
YDR101C	NC_001136.10	655686	657467	-	1782	29	15	12	70	49	41	28	39	38
YDR102C	NC_001136.10	657648	657980	-	333	0	0	0	2	3	3	2	3	3
YDR103W	NC_001136.10	658350	661103	+	2754	20	6	6	31	46	11	33	31	33
YDR104C	NC_001136.10	661173	664910	-	3738	39	39	31	74	77	39	50	63	49
YDR105C	NC_001136.10	665349	666770	-	1422	47	37	58	108	68	60	101	109	110
YDR106W	NC_001136.10	667004	667858	+	855	5	0	4	5	4	2	1	2	3
YNCD0015C	NC_001136.10	668007	668080	-	74	1	0	0	0	0	0	0	1	0
YDR107C	NC_001136.10	669016	671034	-	2019	7	16	15	36	20	30	41	31	33
YDR108W	NC_001136.10	671269	673365	+	2097	17	10	8	67	36	29	35	37	27
YDR109C	NC_001136.10	673520	675667	-	2148	25	6	16	46	36	15	27	35	36
YDR110W	NC_001136.10	676102	677802	+	1701	15	15	17	61	30	21	32	45	43
YDR111C	NC_001136.10	678241	679764	-	1524	22	13	14	20	10	9	24	20	18
YDR113C	NC_001136.10	680496	681617	-	1122	19	9	11	25	26	6	12	14	16
YDR114C	NC_001136.10	681924	682226	-	303	29	17	23	28	39	13	21	17	17
YDR115W	NC_001136.10	682175	682492	+	318	53	40	47	57	56	23	22	50	33
YDR116C	NC_001136.10	682724	683581	-	858	91	62	55	85	102	50	33	45	58
YDR117C	NC_001136.10	683946	685643	-	1698	39	15	25	48	35	17	24	29	33
YDR118W	NC_001136.10	685882	687840	+	1959	8	11	10	31	28	16	22	29	28
YDR119W	NC_001136.10	688227	690533	+	2307	27	16	19	72	37	39	79	110	122
YDR119W-A	NC_001136.10	691014	691214	+	201	1221	955	1109	594	777	322	654	841	835
YDR120C	NC_001136.10	691549	693261	-	1713	61	43	39	95	72	38	55	65	54
YDR121W	NC_001136.10	693585	694175	+	591	30	25	24	30	27	14	16	22	25
YDR122W	NC_001136.10	694700	697894	+	3195	92	65	66	102	110	57	133	173	167
YDR123C	NC_001136.10	698554	699468	-	915	5	6	3	27	25	15	29	29	27
YDR124W	NC_001136.10	700315	701289	+	975	18	24	18	15	19	7	20	14	11
YDR125C	NC_001136.10	701397	702758	-	1362	19	14	14	23	11	10	20	24	27
YDR126W	NC_001136.10	703234	704244	+	1011	22	12	21	37	39	20	19	17	17
YDR127W	NC_001136.10	704484	709250	+	4767	198	137	154	223	154	204	133	158	133
YDR128W	NC_001136.10	709549	712995	+	3447	36	33	27	66	56	29	60	100	69
YDR129C	NC_001136.10;NC_001136.10	713340;715359	715247;715379	-;-	1929	199	178	216	231	159	156	197	241	215
YDR130C	NC_001136.10	715747	716622	-	876	12	10	6	32	20	8	15	25	20
YDR131C	NC_001136.10	716790	718460	-	1671	14	13	11	33	35	10	23	43	48
YDR132C	NC_001136.10	718816	720303	-	1488	21	5	6	53	45	29	26	31	36
YDR134C	NC_001136.10	721071	721481	-	411	489	282	311	687	499	397	363	358	373
YDR135C	NC_001136.10	723004	727551	-	4548	161	112	102	784	458	564	232	277	294
YDR137W	NC_001136.10	728259	730250	+	1992	19	12	12	61	34	30	43	52	38
YDR138W	NC_001136.10	730578	732836	+	2259	37	23	26	63	32	20	32	39	40
YDR139C	NC_001136.10;NC_001136.10	733618;733776	733702;733924	-;-	234	48	41	34	69	72	13	19	38	37
YDR140W	NC_001136.10	734138	734803	+	666	25	19	24	40	38	32	34	43	56
YDR141C	NC_001136.10	734901	739997	-	5097	61	42	56	111	63	58	121	141	136
YDR142C	NC_001136.10	740473	741600	-	1128	18	14	11	23	7	18	31	23	14
YDR143C	NC_001136.10	742042	743874	-	1833	36	33	32	35	43	30	53	38	50
YDR144C	NC_001136.10	744311	746101	-	1791	20	14	12	34	23	17	5	6	4
YDR145W	NC_001136.10	746738	748357	+	1620	83	54	53	64	97	16	40	50	55
YDR146C	NC_001136.10	748613	750742	-	2130	19	18	24	23	14	10	3	0	1
YDR147W	NC_001136.10	751631	753235	+	1605	11	13	10	28	18	9	26	34	29
YDR148C	NC_001136.10	753675	755066	-	1392	608	397	483	565	434	305	267	318	262
YDR150W	NC_001136.10	755628	763874	+	8247	736	554	533	543	661	144	418	532	575
YDR151C	NC_001136.10	764178	765155	-	978	53	34	48	74	79	36	46	60	49
YDR152W	NC_001136.10	765706	766503	+	798	50	33	31	78	83	33	27	25	31
YDR153C	NC_001136.10	766736	767971	-	1236	98	66	76	46	70	22	47	51	42
YDR155C	NC_001136.10	768512	769000	-	489	954	644	782	528	532	352	409	479	447
YDR156W	NC_001136.10	769525	769938	+	414	8	5	3	5	5	13	3	0	1
YDR157W	NC_001136.10	769931	770332	+	402	8	8	7	0	2	0	2	2	1
YDR158W	NC_001136.10	770357	771454	+	1098	183	128	142	219	152	154	149	159	148
YDR159W	NC_001136.10	771877	775782	+	3906	163	92	113	116	142	47	108	121	117
YDR160W	NC_001136.10	776163	778721	+	2559	25	13	15	81	57	41	35	49	48
YDR161W	NC_001136.10	779043	780206	+	1164	22	11	10	48	35	26	33	41	36
YDR162C	NC_001136.10	780390	781100	-	711	18	3	12	47	39	17	17	18	34
YDR163W	NC_001136.10	781423	781950	+	528	52	23	37	33	65	6	16	18	34
YDR164C	NC_001136.10	782041	784215	-	2175	23	13	14	44	30	20	36	49	32
YDR165W	NC_001136.10	784871	786205	+	1335	27	16	20	39	29	12	26	38	32
YDR166C	NC_001136.10	786306	789221	-	2916	75	33	48	107	88	27	97	95	89
YDR167W	NC_001136.10	789449	790069	+	621	53	39	53	74	61	35	24	32	37
YDR168W	NC_001136.10	790328	791848	+	1521	102	86	79	131	117	28	82	89	128
YDR169C	NC_001136.10	792348	793889	-	1542	68	46	53	48	65	22	84	82	78
YDR169C-A	NC_001136.10	794574	794723	-	150	0	1	0	2	0	2	2	2	1
YDR170C	NC_001136.10	796193	802222	-	6030	232	167	185	362	289	178	270	341	321
YNCD0016C	NC_001136.10	802731	802802	-	72	0	0	0	0	0	0	0	0	0
YDR170W-A	NC_001136.10	803195	804517	+	1323	3	2	2	6	4	2	11	8	11
YDR171W	NC_001136.10	806621	807748	+	1128	2571	1908	2251	621	1184	254	319	378	394
YDR172W	NC_001136.10	808324	810381	+	2058	96	53	78	125	110	62	68	96	78
YDR173C	NC_001136.10	810565	811632	-	1068	102	56	80	42	69	19	46	81	65
YDR174W	NC_001136.10	812110	812850	+	741	270	199	208	154	145	54	54	59	60
YDR175C	NC_001136.10	813193	814152	-	960	35	22	21	72	43	39	23	34	33
YDR176W	NC_001136.10	814452	816560	+	2109	85	53	49	57	87	5	52	53	66
YDR177W	NC_001136.10	816878	817525	+	648	189	159	169	176	176	64	75	113	101
YDR178W	NC_001136.10	817950	818495	+	546	324	251	283	678	543	601	349	348	301
YDR179C	NC_001136.10	818708	819196	-	489	25	11	16	11	24	4	9	7	12
YDR179W-A	NC_001136.10	819433	820824	+	1392	12	6	7	26	14	13	16	23	26
YDR180W	NC_001136.10	821295	825776	+	4482	31	22	22	77	38	34	31	57	64
YDR181C	NC_001136.10	825910	827355	-	1446	43	31	22	52	33	12	23	27	44
YDR182W	NC_001136.10	827582	829057	+	1476	78	45	44	114	74	57	96	92	89
YDR182W-A	NC_001136.10	829151	829354	+	204	12	7	6	2	5	4	4	4	6
YDR183W	NC_001136.10	829585	830277	+	693	13	9	11	28	14	12	11	8	10
YDR184C	NC_001136.10	830629	831513	-	885	28	9	12	45	22	7	11	15	24
YDR185C	NC_001136.10	831934	832473	-	540	26	20	27	28	29	13	25	21	23
YDR186C	NC_001136.10	832859	835492	-	2634	217	170	179	231	185	78	233	247	277
YDR188W	NC_001136.10	836421	838061	+	1641	136	87	107	144	132	107	91	96	96
YDR189W	NC_001136.10	838392	840392	+	2001	52	22	32	87	88	18	47	56	68
YDR190C	NC_001136.10	840604	841995	-	1392	62	48	29	102	93	52	69	72	84
YDR191W	NC_001136.10	842337	843449	+	1113	6	6	7	13	17	8	7	7	5
YDR192C	NC_001136.10	843569	844861	-	1293	8	6	2	16	11	10	13	28	15
YDR194C	NC_001136.10	845952	847946	-	1995	284	189	190	367	249	87	140	160	165
YDR194W-A	NC_001136.10	848071	848223	+	153	0	1	1	0	0	1	0	0	0
YDR195W	NC_001136.10	848599	850200	+	1602	73	61	65	55	66	20	42	61	43
YDR196C	NC_001136.10	850274	850999	-	726	84	50	58	80	72	36	44	66	61
YDR197W	NC_001136.10	851228	852397	+	1170	52	46	41	51	42	20	33	36	36
YDR198C	NC_001136.10	852533	853972	-	1440	9	9	5	21	27	6	14	14	19
YDR200C	NC_001136.10	854279	856093	-	1815	113	97	118	40	96	8	48	58	69
YDR201W	NC_001136.10	856317	856814	+	498	11	12	6	21	17	11	8	7	14
YDR202C	NC_001136.10	856898	857953	-	1056	66	46	43	58	34	7	51	54	50
YDR204W	NC_001136.10	858137	859144	+	1008	74	66	68	52	43	43	53	64	72
YDR205W	NC_001136.10	859346	861520	+	2175	34	18	17	61	37	41	56	49	55
YDR206W	NC_001136.10	862054	864708	+	2655	27	14	22	58	35	25	66	69	68
YDR207C	NC_001136.10	865012	867522	-	2511	29	26	22	33	51	17	36	47	53
YDR208W	NC_001136.10	868224	870563	+	2340	146	79	97	133	118	75	142	164	183
YDR209C	NC_001136.10	871036	871449	-	414	29	22	21	57	58	26	18	23	25
YDR210W	NC_001136.10	871074	871301	+	228	21	4	13	30	17	10	12	14	20
YDR210W-B	NC_001136.10	872112	877425	+	5314	0	0	0	0	0	0	0	0	0
YDR210W-A	NC_001136.10	872112	873428	+	1317	0	0	0	0	0	0	0	0	0
YDR210C-D	NC_001136.10	878659	883927	-	5269	0	0	0	0	1	0	0	0	0
YDR210C-C	NC_001136.10	882605	883927	-	1323	0	0	0	0	0	0	0	0	0
YNCD0017W	NC_001136.10;NC_001136.10	884361;884458	884397;884493	+;+	73	1	2	1	1	1	1	0	0	0
YDR211W	NC_001136.10	884727	886865	+	2139	92	59	59	172	94	75	63	94	96
YDR212W	NC_001136.10	887232	888911	+	1680	104	80	83	129	100	85	72	102	87
YDR213W	NC_001136.10	889751	892492	+	2742	27	26	14	38	27	11	47	48	36
YDR214W	NC_001136.10	892875	893927	+	1053	162	121	134	148	125	97	69	95	110
YDR215C	NC_001136.10	894089	894502	-	414	16	6	15	9	4	4	9	12	9
YDR216W	NC_001136.10	895035	899006	+	3972	289	215	247	242	211	127	188	220	125
YDR217C	NC_001136.10	899551	903480	-	3930	99	60	58	119	127	21	62	108	97
YDR218C	NC_001136.10	903781	905052	-	1272	5	3	8	7	14	2	4	7	4
YDR219C	NC_001136.10	905455	906852	-	1398	126	88	107	81	89	15	58	63	62
YDR221W	NC_001136.10	907330	909438	+	2109	17	16	14	37	17	27	31	45	41
YDR222W	NC_001136.10	910054	911301	+	1248	23	8	10	16	19	9	26	34	37
YDR223W	NC_001136.10	912099	913502	+	1404	23	5	14	44	35	21	91	128	118
YDR224C	NC_001136.10	914317	914712	-	396	706	420	424	424	410	147	222	228	280
YDR225W	NC_001136.10	915530	915928	+	399	383	252	262	425	263	300	123	125	121
YDR226W	NC_001136.10	916486	917154	+	669	218	153	151	421	285	236	135	146	152
YDR227W	NC_001136.10	917571	921647	+	4077	155	114	122	124	149	31	77	110	116
YDR228C	NC_001136.10	921926	923806	-	1881	53	28	26	44	54	13	31	53	63
YDR229W	NC_001136.10	924785	926146	+	1362	69	39	47	32	62	11	25	21	28
YDR231C	NC_001136.10	926293	926910	-	618	216	179	215	189	225	99	78	110	84
YDR232W	NC_001136.10	927452	929098	+	1647	287	162	216	205	254	140	149	148	149
YDR233C	NC_001136.10	929470	930357	-	888	289	135	161	280	204	124	155	200	169
YDR234W	NC_001136.10	931129	933210	+	2082	57	30	35	100	72	74	47	55	54
YDR235W	NC_001136.10	933504	935138	+	1635	33	17	13	46	22	9	19	31	29
YDR236C	NC_001136.10	935236	935892	-	657	17	12	14	26	26	17	23	26	32
YDR237W	NC_001136.10	936615	937493	+	879	78	53	49	102	81	47	36	40	46
YDR238C	NC_001136.10	937895	940816	-	2922	155	116	108	301	181	175	199	232	207
YDR239C	NC_001136.10	941057	943420	-	2364	64	30	31	28	38	10	43	38	40
YDR240C	NC_001136.10	943674	945152	-	1479	14	9	9	31	16	17	15	21	20
YNCD0018W	NC_001136.10;NC_001136.10	946312;946365	946350;946400	+;+	75	0	2	0	1	0	0	0	0	0
YDR242W	NC_001136.10	946807	948456	+	1650	47	31	34	58	48	38	120	182	126
YDR243C	NC_001136.10	948518	950284	-	1767	22	17	23	27	28	16	44	60	56
YDR244W	NC_001136.10	950563	952401	+	1839	104	48	62	98	70	36	78	103	75
YDR245W	NC_001136.10	952800	953981	+	1182	73	41	40	103	68	54	71	71	83
YDR246W	NC_001136.10	954288	954947	+	660	45	40	45	44	46	21	52	81	52
YDR246W-A	NC_001136.10	955133	955333	+	201	7	4	3	0	3	3	6	3	8
YDR247W	NC_001136.10	956013	957398	+	1386	178	157	179	111	185	56	209	231	211
YDR248C	NC_001136.10	957758	958339	-	582	43	24	39	74	53	23	38	60	64
YDR249C	NC_001136.10	958681	959802	-	1122	17	7	9	48	33	31	38	32	28
YDR251W	NC_001136.10	960614	963106	+	2493	198	138	147	136	127	68	105	123	122
YDR252W	NC_001136.10	963412	963861	+	450	20	9	7	0	5	2	6	4	0
YDR253C	NC_001136.10	963990	964565	-	576	310	231	279	34	65	6	11	11	18
YDR254W	NC_001136.10	965113	966489	+	1377	97	82	87	44	51	28	66	74	68
YDR255C	NC_001136.10	966557	967822	-	1266	134	93	101	96	78	29	72	77	83
YDR256C	NC_001136.10	968133	969680	-	1548	35	19	17	33	46	23	44	50	45
YDR257C	NC_001136.10	969990	971474	-	1485	18	13	17	44	27	14	20	17	17
YDR258C	NC_001136.10	971808	974243	-	2436	3826	2918	3448	1066	1386	396	375	534	504
YDR259C	NC_001136.10	974631	975782	-	1152	135	75	103	63	109	20	21	18	21
YDR260C	NC_001136.10	976717	977229	-	513	16	13	8	32	32	22	11	16	14
YDR261C	NC_001136.10	977521	979209	-	1689	82	49	54	135	53	85	47	45	61
YNCD0019C	NC_001136.10	980974	981055	-	82	4	1	5	0	0	2	0	1	1
YDR261W-B	NC_001136.10	981462	986775	+	5314	1	0	2	2	1	1	3	3	6
YDR261W-A	NC_001136.10	981462	982778	+	1317	0	0	0	0	0	0	0	0	0
YDR261C-D	NC_001136.10	987534	992349	-	4816	6	1	1	3	4	0	1	3	1
YDR261C-C	NC_001136.10	991027	992349	-	1323	0	0	0	0	0	0	0	0	0
YNCD0020W	NC_001136.10	992832	992902	+	71	0	0	0	0	0	0	0	0	0
YDR262W	NC_001136.10	993134	993952	+	819	67	35	64	62	64	44	142	154	125
YDR263C	NC_001136.10	994242	995534	-	1293	17	14	12	17	23	8	28	28	26
YDR264C	NC_001136.10	996029	998323	-	2295	18	20	18	82	39	59	76	84	79
YDR265W	NC_001136.10	998864	999877	+	1014	10	7	14	30	29	13	18	24	23
YDR266C	NC_001136.10	1000104	1002023	-	1920	56	43	31	96	68	35	77	69	88
YDR267C	NC_001136.10	1002510	1003502	-	993	9	5	8	45	28	20	11	22	22
